round,test_accuracy,test_loss,train_loss,avg_lambda_before,avg_lambda_after,budget_used,participation_rate,method
1,0.5258,1.9935675552368164,2.03211060229555,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
2,0.6887,1.2987515647888184,1.4551569457183298,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
3,0.7119,0.9439761434555054,0.958216874653493,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
4,0.7247,0.8108768770217896,0.7821933649990228,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
5,0.7412,0.7471295282363891,0.7083753474026243,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
6,0.741,0.7108383133888244,0.6739902986590213,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
7,0.7585,0.6798838474273682,0.6381213954198156,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
8,0.7668,0.6549185489654541,0.6155114852757728,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
9,0.7699,0.6363078079223633,0.5951626777001479,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
10,0.7772,0.618562392282486,0.5772408988547958,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
11,0.7799,0.6052737078666687,0.5632767644133717,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
12,0.787,0.5916262031078339,0.5458775326627734,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
13,0.79,0.5807945717811585,0.5365155717142384,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
14,0.7942,0.5708683411598205,0.5259549286495327,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
15,0.7967,0.5607813467502594,0.5143686361353476,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
16,0.7997,0.5521181757926941,0.5072453056888283,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
17,0.8024,0.5428886601924896,0.49733875074653977,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
18,0.8046,0.5347679950714112,0.4900970880189708,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
19,0.8104,0.5293892390727997,0.4860571438161015,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
20,0.8064,0.5246197004795075,0.48191039495262783,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
21,0.813,0.5140320537567139,0.47443635427948516,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
22,0.8141,0.5102304950714112,0.4657759941188488,0.4444665653844994,0.35989601130395976,1.4570546620680187,1.0,fixed_price
